HJD	Epoch	O-C	O-Cerr	Source
2440083.734	-503	-0.1114	0.0059	Millis1969
2440117.051	-492	-0.1221	0.02	Szabados1991 Arch.
2441553.563	-62	-0.0489	0.0334	Szabados1977
2441760.27	0	0.0245	0.02	Szabados1991 Arch.
2441900.265	42	0.0414	0.0356	Szabados1977
2443413.197	495	-0.1194	0.0317	Henden1980
2443656.493	569	-0.118	0.02	Szabados1991 Arch.
2443719.814	588	-0.1202	0.02	Szabados1991 Arch.
2444479.699	816	-0.1146	0.06	Szabados1991 Arch.
2444529.684	831	-0.1216	0.02	Szabados1991 Arch.
2444742.977	895	-0.1281	0.02	Szabados1991 Arch.
2445552.745	1137	-0.2315	0.0119	Oja2011
2445912.682	1245	-0.2375	0.0213	Oja2011
2446265.914	1351	-0.2829	0.0158	Oja2011
2446612.545	1455	-0.2636	0.0524	Berdnikov2008
2446639.186	1463	-0.2841	0.0192	Oja2011
2446726.121	1490	-0.0024	0.04	Szabados1991 Arch.
2446995.705	1570	-0.3752	0.0366	Berdnikov2008
2447008.986	1574	-0.4255	0.0605	Oja2011
2447378.952	1685	-0.4014	0.0181	Oja2011
2447412.209	1695	-0.4724	0.0445	Berdnikov2008
2447435.479	1702	-0.5312	0.0846	Usenko1992
2447755.704	1798	-0.2557	0.1257	Oja2011
2447858.855	1829	-0.4221	0.0049	Hipp
2448135.414	1912	-0.4859	0.022	Oja2011
2448255.454	1948	-0.4266	0.0049	Hipp
2448488.72	2018	-0.4573	0.0141	Oja2011
2448632.014	2061	-0.4731	0.0066	Hipp
2448855.307	2128	-0.4785	0.0282	Berdnikov2008
2448865.281	2131	-0.5026	0.0135	Oja2011
2449021.958	2178	-0.4672	0.0165	Hipp
2449215.213	2236	-0.5154	0.0095	Oja2011
2449571.772	2343	-0.5661	0.0122	Oja2011
2449615.251	2356	-0.4133	0.0442	Berdnikov2008
2449921.709	2448	-0.5737	0.0086	Oja2011
2450008.335	2474	-0.6	0.0236	Berdnikov2008
2450291.623	2559	-0.6005	0.0088	Oja2011
2450664.885	2671	-0.6125	0.0177	Oja2011
2451058.117	2789	-0.6517	0.0212	Oja2011
2451408.01	2894	-0.7029	0.0208	Oja2011
2455750.284	4197	-1.0722	0.0284	KWS
2456100.205	4302	-1.0962	0.0332	KWS
2456480.197	4416	-1.0437	0.0211	KWS
2456850.024	4527	-1.1584	0.0191	KWS
2457106.603	4604	-1.2046	0.0493	ASASSN-V
2457226.575	4640	-1.2139	0.0173	KWS
2457469.821	4713	-1.263	0.0834	ASASSN-V
2457589.904	4749	-1.1602	0.0197	KWS
2457843.043	4825	-1.3149	0.0777	ASASSN-V
2457946.446	4856	-1.2289	0.0128	KWS
2458216.302	4937	-1.3301	0.0613	ASASSN-V
2458313.003	4966	-1.2804	0.0139	KWS
