HJD	Epoch	O-C	O-Cerr	Source
2435610.846	-6339	0.1161	0.0062	Mitchell1964
2444012.303	-3527	0.0397	0.0485	Diethelm1982
2447962.047	-2206	-0.0124	0.0118	Hipp
2448099.506	-2159	0.0105	0.0057	Berdnikov2008
2448311.662	-2088	0.0367	0.0156	Hipp
2448729.904	-1949	-0.0054	0.0112	Hipp
2450570.365	-1332	0.0065	0.0021	Berdnikov2008
2451977.593	-861	0.0071	0.0319	ASAS
2452440.684	-707	-0.002	0.0051	ASAS
2452760.346	-600	-0.0279	0.0069	IOMC
2452790.253	-589	0.0012	0.0044	ASAS
2453139.822	-472	0.0042	0.005	ASAS
2453498.342	-353	-0.0049	0.0042	ASAS
2453650.709	-302	-0.0124	0.0044	IOMC
2453850.895	-235	-0.0057	0.0136	ASAS
2454203.461	-116	0.0073	0.0048	ASAS
2454553.02	0	0.0	0.0034	ASAS
2454917.534	122	0.0094	0.007	ASAS
2455780.924	410	-0.0579	0.0271	KWS
2456154.452	536	0.0016	0.013	KWS
2456503.992	652	-0.0237	0.0162	KWS
2456853.588	770	0.006	0.0184	KWS
2457071.696	843	0.0085	0.0013	ASASSN-V
2457203.124	886	-0.0235	0.0074	KWS
2457430.214	962	-0.0026	0.0033	ASASSN-V
2457555.717	1005	0.0153	0.0155	KWS
2457812.657	1091	0.0093	0.0014	ASASSN-V
2457905.271	1122	0.0039	0.0097	KWS
2458174.161	1211	-0.0039	0.0019	ASASSN-V
2458218.964	1226	-0.0163	0.0016	ASASSN-g
2458257.786	1239	-0.0353	0.0268	KWS
2458568.546	1343	-0.0007	0.002	ASASSN-g
2458607.365	1356	-0.0217	0.0131	KWS
2458927.051	1463	-0.0249	0.0017	ASASSN-g
2458959.97	1475	0.029	0.0464	KWS
